Brand Name,Slug,Redemption Type,Discount % (Credit/Debit Card),Discount % (Net Banking),Discount % (UPI),Discount % (Paytm UPI),Discount % (Amazon Pay),Denominations Available,Online/Offline,How to Redeem,T&Cs Summary
Hindustan Times Premium,hindustan-times-premium,ON,40,40,40,40,40,1199,Online,,The GV/GC would only be accepted on the official website/app hindustantimes.com Only One GV/GC can be used in one bill. GV/GC CANNOT be clubbed with existing offers.
Live Hindustan,live-hindustan,ON,40,40,40,40,40,399,Online,,The GV/GC would only be accepted on the official website/app hindustantimes.com Only One GV/GC can be used in one bill. GV/GC CANNOT be clubbed with existing offers.
EasyBuy,easybuy,OFF,7,7,8,8,7,500 / 1000 / 2000,Offline,,GV/GC will be ACCEPTED at all stores of EasyBuy in India. This is a one-time use GV/GC. Multiple GV/GC can be redeemed in one bill.
Clovia,clovia,ON,9,9,10,10,9,,Online,,Gift Vouchers CAN be used Online at clovia.com Gift Vouchers CAN be clubbed with ongoing offers. Only 1 GV/GC can be used in one bill.
Wow!Chicken,wow-chicken,OFF,8,8,9,9,8,100 / 250 / 500 / 1000 / 100-10000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Multiple GVs can be combined and added to the e-Pay balance. The GV/e-Pay can be clubbed with ongoing deals and discounts.
Raymond - Ready to Wear,raymond---ready-to-wear,OFF,9,9,10,10,9,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-20000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gift Voucher/e-Pay CAN be used during the Sale. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. Gift Voucher/ e-Pay CANNOT be used on discounted products during EOSS.
Park Avenue,park-avenue,OFF,9,9,10,10,9,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-20000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gift Voucher/e-Pay CAN be used during the Sale. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. Gift Voucher/ e-Pay CANNOT be used on discounted products during EOSS.
Parx,parx,OFF,9,9,10,10,9,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-20000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gift Voucher/e-Pay CAN be used during the Sale. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. Gift Voucher/ e-Pay CANNOT be used on discounted products during EOSS.
ColorPlus,colorplus,OFF,9,9,10,10,9,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000 / 100-20000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gift Voucher/e-Pay CAN be used during the Sale. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. Gift Voucher/ e-Pay CANNOT be used on discounted products during EOSS.
Starbucks,starbucks,OFF,6,6,8,8,6,500 / 1000 / 2000,Offline,,The GV/GC is redeemable on the Starbucks India app & at the listed outlets. Multiple GV/GC cannot be used in one bill. The GV/GC cannot be reloaded with additional funds once purchased.
FUTURE WORLD - APPLE RESELLER,future-world,B,2,2,3,3,2,100 / 1000 / 2500 / 5000 / 7500 / 10000 / 100-10000 (custom),Both,,The GV/GC will be accepted at the stores and on the website: www.futureworldindia.in . The GV/GC cannot be clubbed with any ongoing offer. Multiple GVs can be combined and added to the e-Pay balance.
Pigeon,pigeon,OFF,9,9,10,10,9,100-10000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
Shiva Organic,shiva-organic,ON,15,15,16,16,15,500 / 1000,Online,,
GIVA Silver Coin,giva-silver-coin,B,4,4,6,6,4,500 / 1000 / 2000,Both,,This is a GIVA Insta Gift Voucher (GV) / Gift Card (GC) and would be accepted on the listed outlets & website. Maximum of 10 GV/ GC can be used in one bill. GIVA GV / GC can be used during sale
Foxtale,foxtale,ON,20,20,20,20,20,250 / 500 / 1000 / 1500 / 2000 / 2500 / 5000 / 100-10000 (custom),Online,,Gift Voucher/ e-Pay is ACCEPTED Online. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/GC CANNOT be clubbed with any offer/discount on the website.
Malabar Silver Coin,malabar-silver-coin,B,0,0,2,2,0,,Both,,The GV/GC can be used at all outlets in India as well as online Shopping portal. Multiple GV/GC (maximum 9) CAN be used in one bill. GV/GC cannot be clubbed with any ongoing/existing offers.
Rangriti,rangriti,ON,7,7,8,8,7,500 / 1000 / 1500 / 2000 / 4000 / 5000 / 100-10000 (custom),Online,,Gift Vouchers CAN Only be used online. Gift Vouchers CAN be clubbed with any on-going promotions on website Multiple Gift Vouchers CAN be used in one bill Gift Vouchers CANNOT be used at outlet
SSUNSU,ssunsu,ON,11,11,12,12,11,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,,The GV/e-Pay will be accepted only on www.ssunsu.in . Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. GV/e-Pay can be used on slash-priced items but not with promo codes.
Fastrack Smartwatches,fastrack-smartwatches,OFF,7,7,8,8,7,1000 / 1500 / 2000 / 2500 / 3000 / 3500 / 4000 / 5000,Offline,,This voucher can be redeemed at all company authorized FASTRACK Stores. Voucher Partial redemption is not allowed and is redeemable only once. Voucher is not applicable on discounted products and cannot be clubbed with any other offer in the store. Multiple vouchers (upto 5) can be used against single transaction Gift Vouchers CANNOT be used Online.
Titan Smartwatches,titan-smartwatches,OFF,7,7,8,8,7,1000 / 1500 / 2000 / 2500 / 3000 / 3500 / 4000 / 5000,Offline,,"This Voucher can be redeemed at all company authorized TITAN WORLD Stores. Multiple vouchers (upto 5) can be used against single transaction. The gift voucher can only be redeemed after 8 hour period from the time of its issuance. Gift Vouchers CANNOT be used Online. Voucher partial redemption is not allowed, single time usage only. Voucher is not applicable on discounted products and cannot be clubbed with any other offer in the store. Voucher cannot be redeemed for Titan Nebula collection of Watches."
LENSKART,lenskart,B,8,8,10,10,8,1000 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000,Both,,"The GV/GC will be accepted on Lenskart's website, app, offline stores, and affiliate platforms. Lenskart Gift Vouchers/Cards can only be redeemed by adding the code to the Lenskart Wallet via the app or website. You can load up to 1,00,000 in gift cards to Lenskart Money for purchases. The GV/GC can be clubbed with any ongoing offer."
Mediwheel,mediwheel,ON,21,21,22,22,21,250 / 500 / 1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Online,,GV/GC will be accepted on the website & app. GV/GC can be clubbed with any existing offer on its website. Only one GV/GC can be used for one subscription.
Air India,air-india,ON,4,4,5,5,4,1000 / 2000 / 5000 / 10000,Online,,"GV/GC can be redeemed on the Air India website and mobile app. Multiple GV/GC can be used in a single transaction. GV/GC can be combined with any offer, such as a discount, cash back, or promotion."
Cello,cello,ON,11,11,13,13,11,100-10000 (custom),Online,,The GV/e-Pay will be accepted on the Cello website. Multiple Gift Vouchers can be combined & added to the e-Pay balance. The GV/e-Pay can be used to buy discounted products.
Matrix,matrix,ON,10,10,13,13,10,500,Online,,The GV/GC will be accepted on the www.matrix.in This is a one-time use GV/GC. The GV/GC can only be used for discounted products and can't combine with other promo codes or offers.
Tattva Spa,tattva-spa,ON,15,15,15,15,15,100-10000 (custom),Online,,"GV/ e-Pay is ACCEPTED Online. Multiple GVs can be combined and added to the e-Pay balance. The GV/e-Pay cannot be clubbed with ongoing deals and discounts. The GV/e-Pay is valid only on spa therapies. Not valid on memberships, gift vouchers, or deals/experiences."
Zepto,zepto,ON,0,0,0,,,,Online,,"The GV/GC would only be accepted on the Zepto mobile app and on www.zeptonow.com More than one GV/GC can be used in one bill. You can buy GV/GC up to Rs. 5 lakh per month, with each GV/GC up to Rs.10,000. The GV/GC can be used during sale. GV/GC added to Zepto Wallet balance cannot be redeemed to purchase Jewellery, Coins & Tobacco products."
Steam Wallet,steam-wallet,ON,1.5,1.5,2,2,,175 / 250,Online,,"GV/GC and can be redeemed only at https://store.steampowered.com/games/. Multiple GVs can be combined and added to the Steam Wallet (INR). GV/GC cannot be combined with any other discounts, promotions, or offers on the website."
Valorant,valorant,ON,1.5,1.5,3,3,1.5,435 / 475 / 870 / 950,Online,,"GV/GC and can be redeemed only at https://www.riotgames.com/en. GV/GC cannot be combined with any other discounts, promotions, or offers on the website. GV/GC allows you to purchase Valorant Points (VP) for use at prepaidcards.riotgames.com and the Valorant in-game store."
DUROFLEX,duroflex,ON,9,9,11,11,9,1000 / 2500 / 5000 / 7500 / 10000,Online,,The GV/GC can be used online at https://www.duroflexworld.com/. Multiple GVs can be combined and added to the e-Pay balance. The GV/GC can be used on discounted products and cannot be combined with other promo codes or offers.
Nat Habit,nat-habit,ON,22,22,22,22,22,500 / 1000 / 2000 / 100-10000 (custom),Online,,The GV/GC CAN be used Online at www.nathabit.in Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/GC CAN be clubbed with ongoing sales.
Ikea,ikea,B,1,1,2,5,1,1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000,Both,,"The GV/GC can be used online at https://www.ikea.com/in/en/ & at the listed stores. The GV/GC can be used multiple times until the full balance is used, within its validity period. The GV/GC can be used on discounted products and combined with other promo codes or offers."
FRIDO,frido,ON,12,12,14,14,12,500 / 1000 / 2000 / 5000,Online,,The GV/GC will be accepted on the website https://www.myfrido.com/.& https://mobility.myfrido.com. Multiple GV/GC's CAN be combined & added to the e-Pay balance. The GV/e-Pay is valid on slashed prices and can be clubbed with bank offers. But it cannot be clubbed with any brand promo code applicable on the website(s).
UniPin,unipin,ON,5,5,5,5,5,100 / 500,Online,The GV/GC cannot be cancelled or blocked under any circumstances.,"Redeemable only on the UniPin India website and valid only within India. Requires BGMI installed on your device; partial redemption is not allowed. Once delivered, the voucher is non-cancellable, non-refundable, and the recipient’s email/phone cannot be changed."
UniPin BGMI,unipin-bgmi,ON,5,5,5,5,5,75 / 1900 / 7500,Online,The GV/GC cannot be cancelled or blocked under any circumstances.,"Redeemable only on the UniPin India website and valid only within India. Requires BGMI installed on your device; partial redemption is not allowed. Once delivered, the voucher is non-cancellable, non-refundable, and the recipient’s email/phone cannot be changed."
Barbeque Nation Value Voucher,barbeque-nation-value-voucher,OFF,0,0,0,,0,,Offline,,
Apparel Group,apparel-group,OFF,10,10,10,10,10,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Offline,,Gift Voucher/ e-Pay is ACCEPTED at all Listed Outlets. Gift Voucher/ e-Pay CANNOT be used Online. Gift Voucher/e-Pay CAN be used during the Sale. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
Soch,soch-apparels,B,7,7,8,8,7,100 / 500 / 1000 / 2000 / 2500 / 5000 / 100-10000 (custom),Both,,GV/ e-Pay is ACCEPTED at all Listed Outlets. GV/ e-Pay CANNOT be used Online. GV/e-Pay CAN be clubbed with the ongoing offers & schemes. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
Femmella,femmella,ON,12,12,14,14,12,500 / 1000 / 2000 / 100-10000 (custom),Online,,The GV/GC CAN be used Online at www.femmella.com Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/GC CAN be clubbed with ongoing sales.
Vinci Botanicals,vinci-botanicals,ON,33,33,33,33,33,500 / 1000 / 2000,Online,,The GV/e-Pay will be accepted only on the app or the website. Multiple GVs CAN be combined & added to the e-Pay balance. The GV/e-Pay CAN be clubbed with ongoing sales.
Adani Meet and Greet,adani-meet-and-greet,ON,4,4,5,5,4,,Online,,"GV/GC is valid at all 7 Adani airports: Mumbai, Ahmedabad, Lucknow, Thiruvananthapuram, Jaipur, Guwahati & Mangalore. GV/GC cannot be clubbed with other offers on Adani One. Minimum bill must be equal to or more than the GV/GC value."
Microsoft Xbox Game Pass Core,microsoft-xbox-game-pass-core,ON,0,0,0,,0,499 / 2249 / 3349,Online,,"Customers are not required to enter hyphens in the 25-digit GV/GC code; the system automatically inserts them. Make sure you’re signed in with the Microsoft account you want to redeem the GV/GC with. If the Store app is not displayed, go to “My Games & Apps”, select “Apps”, and select the Store app. Vouchers once issued can not be cancelled/blocked. Play on: Xbox Series X|S, Xbox One, and Windows 10/11. Requires: Download(s), system apps, significant storage, broadband (fees may apply), and a Microsoft account (microsoft.com/msa). Windows 10/11 requires the latest OS updates; excludes S Mode and ARM."
App Store Code,app-store-code,ON,0,0,0,,0,,Online,,"Do not share your code with anyone you do not know. To redeem, simply click on the code above or visit appstore.com/redeem Redeem a gift card with your iPhone, iPad, or iPod touch: On your iPhone, iPad, or iPod touch, open the App Store app. At the top of the screen, tap the sign-in button or your photo. Tap Redeem Gift Card or Code . If you don’t see “Redeem Gift Card or Code,” sign in with your Apple ID. You can also enter your code manually; then follow the instructions on the screen. Make sure that you enter the 16-digit code that begins with X. Tap Done. Redeem a gift card on your Android device: Open the Apple Music app. Tap the menu button, then tap Account . Tap Redeem Gift Card or Code . Enter the 16-digit code that begins with X. Then tap Redeem."
Tanishq Gold Coin,tanishq-gold-coin,OFF,0,0,1,1,0,5000,Offline,,Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be clubbed with on-going promotions/offers. Gift Vouchers are ACCEPTED at only listed Tanishq Outlets.
Typsy Beauty,typsy-beauty,ON,18,18,18,18,18,250 / 500 / 750 / 1000 / 2000,Online,,The GV/GC CAN be used Online at typsybeauty.com Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/GC CAN be clubbed with ongoing sales.
Pure Home + Living,pure-home-living,B,9,9,10,10,9,250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Both,,
Reliance Smart Bazaar,reliance-smart-bazaar,OFF,1,1,2,2,1,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 9999,Offline,,Gift Vouchers CAN be used to buy discounted products. This is a one-time use GV/GC. Multiple Gift Vouchers CAN be used in one bill. Gift Vouchers CAN be used at all Listed Outlets on storelocator.ril.com/Retail.aspx Gift Vouchers CANNOT be used online
Nestasia,nestasia,OFF,11,11,13,13,11,500 / 1000 / 2000 / 5000 / 10000,Offline,,Gift Voucher/e-pay is ACCEPTED only at Listed Outlets. Gift Vouchers/e-pay CANNOT be used Online. Gift Vouchers/e-pay CAN be used to buy discounted products. Multiple Gift Vouchers CAN be added to e-Pay balance.
Blissclub,blissclub,B,14,14,16,16,14,1000 / 2000 / 5000 / 100-10000 (custom),Both,,The GV/GC CAN be used Online at www.blissclub.com & at listed stores Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/GC CAN be clubbed with ongoing sales.
Sony Playstation,sony-playstation,ON,0,0,0,,0,,Online,,"The GV/GC can be redeemed only on the PlayStation Store on your console or via the website. Redemption requires: Access to the PlayStation Store (via a supported PlayStation™ console, the PlayStation™ App, or the web) An account for PlayStation™Network (“PSN”) registered in the country to which the GV/GC Code relates An internet connection (e.g., broadband, Wi-Fi, or mobile internet, depending on your device) This is a one-time use GV/GC. GV/GC Codes are country-specific (unless otherwise stated on the GV/GC Code), meaning they can only be redeemed on accounts for PSN that match the country or region for which the GV/GC Code was issued."
Yatra Voucher,yatra-voucher,ON,,,0,,,500 / 1000 / 1500 / 2000,Online,The voucher can be redeemed only on the Yatra website and app. Applicable exclusively for flight bookings. Voucher validity is limited to 60–75 days. Only one voucher can be used per transaction. The voucher cannot be clubbed with any other ongoing offer.,The GV/GC can be redeemed only at www.yatra.com. GV/GC is valid for 2 months from the date of issue. Only ONE GV/GC can be used in a single transaction. The GV/GC cannot be clubbed with any other ongoing offer.
Speedo,speedo,ON,11,11,13,13,11,100 / 250 / 500 / 1000 / 2000 / 100-10000 (custom),Online,,GV/GC CAN Only be used at www.speedo.com GV/GC CAN be clubbed with on-going promotions/offers. Maximum 3 GV/GC can be used in one bill.
ShemarooMe,shemaroome,ON,28,28,30,30,28,299 / 699 / 999,Online,,The GV/GC would be accepted on the ShemarooMe Android App and at www.shemaroome.com A single GV/GC can be used in one bill/transaction. This is a one-time use GV/GC with an expiration date. The GV/GC cannot be clubbed with any other offers on its website/application.
Taj Hotels J Wellness Circle,taj-wellness-gift-card,OFF,7,7,8.5,11,7,6000 / 12000,Offline,,"The GV/GC can only be redeemed at the participating J Wellness Circle Spas across Taj, SeleQtions, and Vivanta hotels on all days of the week. To check the list of participating hotels for this program, please visit tajhotels.com/en-in/gc/j-wellness This is a one-time use GV/GC. The GV/GC must be shown with a valid Govt. ID (original/email) to avail the service."
MS Xbox Game Pass Ultimate,ms-xbox-game-pass-ultimate,ON,0,0,0,,0,1089 / 3269,Online,,"Customers are not required to enter hyphens in the 25-digit GV/GC code; the system automatically inserts them. Make sure you’re signed in with the Microsoft account you want to redeem the GV/GC with. If the Store app is not displayed, go to “My Games & Apps”, select “Apps”, and select the Store app. Vouchers once issued can not be cancelled/blocked. Play on: Xbox Series X|S, Xbox One, and Windows 10/11. Requires: Download(s), system apps, significant storage, broadband (fees may apply), and a Microsoft account (microsoft.com/msa). Windows 10/11 requires the latest OS updates; excludes S Mode and ARM."
Microsoft Xbox PC Game Pass,microsoft-xbox-pc-game-pass,ON,0,0,0,,0,,Online,,"Customers are not required to enter hyphens in the 25-digit GV/GC code; the system automatically inserts them. Make sure you’re signed in with the Microsoft account you want to redeem the GV/GC with. If the Store app is not displayed, go to “My Games & Apps”, select “Apps”, and select the Store app. Vouchers once issued can not be cancelled/blocked. Play on: Xbox Series X|S, Xbox One, and Windows 10/11. Requires: Download(s), system apps, significant storage, broadband (fees may apply), and a Microsoft account (microsoft.com/msa). Windows 10/11 requires the latest OS updates; excludes S Mode and ARM."
Ajio Luxe,ajio-luxe,ON,1.5,1.5,3,3,,5000 / 10000,Online,,Gift Voucher/Gift Card (GV/GC) can be used online on the Mobile App and the Website. This is a one-time use GV/GC. This GV/GC is non-refundable. The GV/GC CANNOT be used to buy other Gift Cards on AJIO Luxe.
Tinder,tinder,ON,5.5,5.5,7,7,5.5,160 / 280 / 420 / 585 / 740 / 930 / 999,Online,,Gift Vouchers (GV/GC) cannot be blocked once issued. Create your Tinder profile on the mobile app first to redeem the GV/GC on the browser. Choose your membership carefully – the selected plan will be activated. GV/GC are one-time use only and for a single user. GV/GC is valid only for users 18+ who are not on an active Gold/Plus plan.
Manyavar,manyavar,OFF,0,0,0,,0,1000 / 2500 / 5000 / 7500 / 10000 / 100-10000 (custom),Offline,,GV/ e-Pay is ACCEPTED at all Listed Outlets. GV/ e-Pay CANNOT be used Online. GV/e-Pay CAN will not apply to Custom Tailoring bills. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
French Accent,french-accent,ON,0,0,0,,0,500 / 1000 / 2000,Online,,The GV/GC will be used online at French Accent website. Multiple GV/GCs can be combined and added to the e-Pay balance. Gift Voucher/e-Pay CAN be used during the Sale.
Haute Sauce,haute-sauce,ON,0,0,0,,0,500 / 1000 / 2000,Online,,The GV/GC will be used online at Haute Sauce website. Multiple GV/GCs can be combined and added to the e-Pay balance. Gift Voucher/e-Pay CAN be used during the Sale.
Instafab Plus,instafab-plus,ON,0,0,0,,0,500 / 1000 / 2000,Online,,The GV/GC will be used online at Instafab Plus website. Multiple GV/GCs can be combined and added to the e-Pay balance. Gift Voucher/e-Pay CAN be used during the Sale.
Urban Space,urban-space,ON,6.5,6.5,8,8,6.5,500 / 1000 / 2000 / 5000 / 100-10000 (custom),Online,,The GV/e-Pay CAN be used Online at www.urbanspacestore.in Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/e-Pay CAN be clubbed with existing offers.
Mobile Postpaid - Bill Payment,mobile-postpaid-bill-payment,OFF,0,0,0,,0,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Offline,,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/mobile-postpaid GV/e-Pay is valid only for services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals. Partial redemption allowed; remaining balance usable until expiry. Some billers take up to 3 business days to accept the payment after the transaction is completed.
Landline Bill Payment,landline-bill-payment,ON,0,0,0,,0,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/landline-postpaid GV/e-Pay is valid only for services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals. Partial redemption allowed; remaining balance usable until expiry. Some billers take up to 3 business days to accept the payment after the transaction is completed.
Gas Bill Payment,gas-bill-payment,ON,0,0,0,,0,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/lpg-gas GV/e-Pay is valid only for services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals. Partial redemption allowed; remaining balance usable until expiry. Some billers take up to 3 business days to accept the payment after the transaction is completed.
Mobile Prepaid - Recharge,mobile-prepaid-recharge,ON,0,0,0,,0,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/mobile-prepaid GV/e-Pay is valid only for services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals. Partial redemption allowed; remaining balance usable until expiry. Some billers take up to 3 business days to accept the payment after the transaction is completed.
Water Bill Payment,water-bill-payment,ON,0,0,0,,0,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/water-bill GV/e-Pay is valid only for services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals. Partial redemption allowed; remaining balance usable until expiry. Some billers take up to 3 business days to accept the payment after the transaction is completed.
Electricity Bill Payment,electricity-bill-payment,ON,0,0,0,,0,100 / 250 / 500 / 1000 / 2000 / 5000 / 7500 / 10000 / 100-10000 (custom),Online,,The GV/e-Pay CAN be used Online at www.gyftr.com/loyaltylifecycle/bills-utilities/electricity GV/e-Pay is valid only for services and billers available on www.gyftr.com/loyaltylifecycle/bills-utilities and linked portals. Partial redemption allowed; remaining balance usable until expiry. Some billers take up to 3 business days to accept the payment after the transaction is completed.
Himalaya Wellness,himalaya-wellness,OFF,12,12,14,14,12,100 / 500 / 1000 / 2000 / 100-10000 (custom),Offline,,GV/e-Pay is ACCEPTED at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
Liberty Online,liberty-online,ON,8,8,9,9,8,250 / 500 / 1000 / 2000 / 5000,Online,,The GV/e-Pay CAN be used Online at www.libertyshoesonline.com Multiple Gift Vouchers CAN be combined & added to the e-Pay balance. The GV/e-Pay CAN be clubbed with existing offers.
Liberty,liberty,OFF,8,8,8,8,,250 / 500 / 1000 / 2000 / 5000,Offline,,GV/e-Pay is ACCEPTED at all Listed Outlets. GV/e-Pay can be clubbed with the existing offers. Multiple Gift Vouchers CAN be combined & added to the e-Pay balance.
CHARLES TYRWHITT- Luxe Gift Card,charles-tyrwitt,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
MAJE- Luxe Gift Card,maje,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
PAUL SHARK- Luxe Gift Card,paul-and-shark,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
Sandro-Luxe Gift Card,sandro,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
SUPERDRY SPORT- Luxe Gift Card,superdry-sport,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
The White Crow-Luxe Gift Card,the-white-crow,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
BOTTEGA VENETA- Luxe Gift Card,bottega-veneta,OFF,10,10,,10,10,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 30 participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
JIMMY CHOO- Luxe Gift Card,jimmy-choo,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
TORY BURCH- Luxe Gift Card,tory-burch,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
VALENTINO- Luxe Gift Card,valentino,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
VERSACE- Luxe Gift Card,versace,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
H BY HAMLEYS- Luxe Gift Card,h-by-hamleys,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
ROWAN- Luxe Gift Card,rowan,OFF,0,0,0,,0,1000 / 2000 / 5000 / 10000,Offline,,Multiple Gift Vouchers CAN be used in one bill. This Luxe Gift Card is redeemable at more than 45+ participatory brands across India. Gift Vouchers CANNOT be used during Sale. Gift Vouchers are ACCEPTED at all listed Outlets. EGV is ONE time use.
