Brand Group,Product Name,Maximize ID,URL,Status,Redemption Type,Denominations,Custom Amount,Custom Range,Qty Cap/Order,Discount (UPI),Discount (Debit Card),Discount (Credit Card),Discount (CC on UPI),Discount (Diners Club),Discount (Amex),Best Method,Best Discount %,Multi-Use,Can Club w/ Offers,Cards Stackable,Validity,How To Redeem,Terms & Conditions,Last Scraped
Estuary World,Estuary World,794,https://www.maximize.money/gift-cards/Estuary World/794,active,Online,600 / 600,No,,,40.0% off / 43.75% earn,38.75% off / 42.5% earn,38.1% off / 41.85% earn,37.65% off / 41.4% earn,37.75% off / 41.5% earn,37.75% off / 41.5% earn,UPI,40.0,No,No,No,Valid till 31st December.,Add your desired Estuary World product(s) to the cart. | Enter the provided coupon code at checkout. | Apply the code to receive the discount and cashback. | Complete your payment to finish the purchase.,Flat ₹600 off + 20% instant cashback. | Valid on all Estuary World products. | No minimum AOV required. | One-time use per customer. | Offer valid till 31st December. | Cashback is credited instantly to the user’s wallet/account. | Cannot be combined with any other coupon or offer. | Coupon must be applied at checkout.,2026-07-26
Fashion Factory,Fashion Factory,272,https://www.maximize.money/gift-cards/Fashion Factory/272,active,In-store,500 / 1000 / 2000 / 3000 / 5000,No,,4,3.5% off / 3.65% earn,2.25% off / 2.4% earn,1.6% off / 1.75% earn,1.15% off / 1.3% earn,1.25% off / 1.4% earn,1.25% off / 1.4% earn,UPI,3.5,No,No,No,Valid for a minimum period of 6 months from the date of receipt.,Visit listed outlet. You can locate the outlet on [storelocator.ril.com](https://storelocator.ril.com/Retails). | Select your choice of product. | Share the voucher code with the cashier before billing. You can make the balance payment by any other payment tender mode.,"This Gift Voucher is issued by Reliance Retail Limited (Reliance). | This Gift Voucher is redeemable, and it is valid only for a minimum period of 6 months from the date of receipt. | Gift Voucher can be redeemed at Fashion Factory outlets in India. | Gift Voucher can’t be exchanged for cash. | This Gift Voucher can be redeemed only once. Any unused amount will lapse. | No extension of the Validity period nor refund of the value of Gift Voucher in case of failure to use the Gift Voucher on or before the validity period. | Reliance shall not be responsible for loss or misuse of Gift Voucher and no duplicate or compensation in lieu of the Gift Voucher shall be given by Reliance. | Reliance overall liability will not exceed the value of the Gift Voucher. | Bearer of the Gift Voucher shall be deemed to have read, understood, and accepted these terms and conditions. | Bearer of the code of Gift Voucher is deemed to be the beneficiary of this Gift Voucher. Any redemption by the bearer of Gift Voucher shall be considered as a valid discharge of liabilities by Reliance. | Reliance shall not be liable under any circumstances towards any loss or damage or expenses or cost or any third-party liability, whether directly or indirectly arising out of or in relation to use of Gift Voucher and redemption thereunder by the bearer. | Reliance reserves its right to modify/amend the terms and conditions of the Gift Voucher at any time without prior notice and such modifications shall be binding on the user/bearer of the Gift Voucher. | Any dispute with regard to Product liability, guarantee, warranty, and quality of the Products to be purchased under redemption of the Gift Voucher shall be addressed to the respective Manufacturer/ Brand Owner and Reliance shall not be held responsible/liable for the same. The guarantee and warranty of the Products shall be transferred, as received from the respective Manufacturer/Distributor. | In case of any issue faced by the Gift Voucher bearer, the Gift Voucher bearer can reach out to Customer service desk at the Stores or Customer Care at Toll free number 18008910001/18001027382 or Email at customerservice@ril.com. | For any Reliance Retail GV queries / issues related to receiving of the voucher, please reach out to customer care via gvhelpdesk.com or customer care toll free number 18001033314. | The Gift Voucher is binding for all applicable laws of India. | All disputes are subject to the jurisdiction of courts at Mumbai only.",2026-07-26
Milkbasket,Milkbasket,1004,https://www.maximize.money/gift-cards/Milkbasket/1004,active,Online,100 / 500 / 1000 / 2000,No,,4,1.5% off / 1.75% earn,0.25% off / 0.5% earn,,,,,UPI,1.5,Yes,Yes,Yes,Valid upto 12 Months from purchase,"Log in to the Milkbasket App, go to your wallet, select the amount of Gift Card you want to top-up, and click on “Recharge Once”. | Choose the GV/e-Pay option. And add pin only","This Milkbasket GV (Gift Voucher)/e-Pay can only be redeemed on the Milkbasket App. | This GV/e-Pay is to be used only by the individual to whom it is issued and is non-transferable. | This GV/e-Pay is not refundable and cannot be returned or redeemed for cash or credit. | If the order value exceeds the GV/e-Pay value, the difference must be paid by another payment option. | The e-Pay balance must be linked to the registered mobile number. | After conversion into e-Pay balance, this GV is valid for partial redemption. The balance would remain in the e-Pay balance and can be used for multiple transactions within the validity period. | Expired GV/e-Pay cannot be revalidated. | Milkbasket reserves the right to modify the terms and conditions for the GV/e-Pay without any prior notice or liability. | Milkbasket/GyFTR is not liable for lost, stolen, or destroyed GV/e-Pay and/or unauthorized usage of this GV/e-Pay. | If GV/e-Pay gets blocked on account of a technical issue, it will be enabled in 72 hours. | Any dispute should be referred to the company from which the Milkbasket GV/e-Pay has been received, and the company's decision shall be final. | Milkbasket/GyFTR reserves the right to withdraw, modify, cancel, or change the offer at any point without prior notice and at their sole discretion. | For any queries or issues related to GV/e-Pay, raise a request at https://www.gvhelpdesk.com.",2026-07-26
Assembly,Assembly,258,https://www.maximize.money/gift-cards/Assembly/258,active,Online,100 / 500 / 1000 / 2000 / 2500 / 5000 / 10000,No,,4,15.5% off / 16.25% earn,14.25% off / 15.0% earn,13.6% off / 14.35% earn,13.15% off / 13.9% earn,13.25% off / 14.0% earn,13.25% off / 14.0% earn,UPI,15.5,No,No,No,Valid for upto 6 months,"Select the product of your choice and add to cart. | On the checkout page enter your Gift Voucher code in the 'Discount Code' section. | Pending payment if any, can be settled using other available payment tender modes.",This is Assembly Insta Gift Voucher and would be accepted only at website https://assemblytravel.com | The person who has the Assembly GV Code is deemed to be the beneficiary. | The voucher CANNOT be reused in case of any cancellation on an order for which it was applied. | Get additional 5% off over and above the offer on UPI payments. | There is No minimum order value required for the use of the voucher. | Valid for all users and on all products. | This offer is valid for one time use. | This offer is only applicable sitewide. | The offer cannot be clubbed with any offers or promotions on the website.,2026-07-26
Bata,Bata,819,https://www.maximize.money/gift-cards/Bata/819,active,In-store,2000 / 2500 / 3000 / 4000 / 5000,No,,4,7.0% off / 10.0% earn,5.75% off / 8.75% earn,5.1% off / 8.1% earn,4.65% off / 7.65% earn,4.75% off / 7.75% earn,4.75% off / 7.75% earn,UPI,7.0,Yes,No,Yes,Valid for upto 6 months,Share your registered mobile number with the cashier after items are scanned. The cashier will check and inform the GV balance. | Confirm how much you want to redeem. Pay the remaining balance (if any) using other payment modes. | Cashier completes the billing process using the voucher.,"Valid at listed offline Bata stores (Not for online use). | Multiple GVs can be clubbed (up to ₹20,000) and added to your e-Pay wallet within 30 days. | GVs must be linked to a registered mobile number to convert into e-Pay. | GV/e-Pay cannot be transferred, exchanged for cash, or used across accounts. | Expired GVs/e-Pays cannot be revalidated. | Bata is not responsible for unauthorized use. | Block-out dates may apply; redemption is at Bata’s discretion. | If GVs are blocked for technical reasons, reactivation will occur within 72 hours. | For disputes, the issuing company’s decision is final.",2026-07-26
Resonate Router UPS,Resonate Router UPS,474,https://www.maximize.money/gift-cards/Resonate Router UPS/474,active,Online,250 / 500 / 1000 / 2500 / 5000,No,,4,10.0% off / 10.5% earn,8.75% off / 9.25% earn,8.1% off / 8.6% earn,7.65% off / 8.15% earn,7.75% off / 8.25% earn,7.75% off / 8.25% earn,UPI,10.0,No,No,No,Valid for upto 12 months,"Customer visits the webstore: https://www.resonate.store | Selects the desired merchandise | Proceeds to the checkout page | Chooses “Gift Card” as the payment method | Enters and submits the gift card details | Clicks the “Redeem” button | System validates the gift card and checks available balance | Customer is prompted with redemption confirmation | Upon confirmation, the invoice amount is adjusted with the redeemed value | If the bill exceeds the gift card value, the customer must pay the remaining balance using another payment method (credit/debit card, UPI, etc.)","This Gift Card is valid only on the Resonate website: https://www.resonate.store. | It cannot be redeemed at offline retail outlets, multi-brand stores, or marketplaces like Amazon, Flipkart, Paytm, etc. | The card is valid for 12 months from the date of activation. | Only one gift card can be redeemed per invoice. | No replacement or compensation will be given for lost, mutilated, or defaced gift cards. | The card is not legal tender and is not a replacement for a credit/debit card. | It cannot be exchanged for cash or cheque. | The holder of the card is deemed to be the beneficiary. | For any dispute or redemption issues, contact: care@resonate.store. The company's decision will be final. | All disputes are subject to the jurisdiction of courts in Bangalore only.",2026-07-26
LIONSGATE PLAY,LIONSGATE PLAY,881,https://www.maximize.money/gift-cards/LIONSGATE PLAY/881,active,Online,799 / 799,No,,,21.0% off / 21.25% earn,19.75% off / 20.0% earn,19.1% off / 19.35% earn,18.65% off / 18.9% earn,18.75% off / 19.0% earn,18.75% off / 19.0% earn,UPI,21.0,No,No,No,Valid upto 6 Months from purchase,Login through mobile at https://lionsgateplay.com/ | Choose payment method as Voucher to activate your account or subscription | Enter the voucher code and click on Continue | Lionsgate subscription will be activated successfully,"This is a Lionsgate Play GV (Gift Voucher)/GC (Gift Card) that will only be accepted on the website:lionsgateplay.com/paymentlanding & app. | To redeem, iOS users should visit https://lionsgateplay.com/paymentlanding, as Voucher redemption is not supported via iOS iPhone. | The person who has the GV/GC is deemed to be the beneficiary. | GV/GC is applicable for Indian users only. | GV/GC can be redeemed on the Lionsgate Play app by creating an account and applying the GV/GC code. | The GV/GC is one-time use only. | Multiple GV/GCs cannot be clubbed with ongoing offers. | Existing Lionsgate Play subscribers can redeem this GV/GC only after their current subscription expires. | Only a valid GV/GC at the sole discretion of Lionsgate Play shall be accepted for redemption. | The GV/GC CANNOT be revalidated once expired or canceled under any circumstances. | Lionsgate Play/Maximize is not responsible if the GV/GC is lost, stolen, or used without permission. | If GV/GC gets blocked on account of a technical issue, it will be enabled in 72 hours. | Lionsgate Play/Maximize reserves the right to withdraw, modify, cancel, or change the offer at any point without prior notice and at its sole discretion. | Lionsgate Play/Maximize is not responsible if the GV/GC is lost, stolen, or used without permission. | GV/GC is subject to more detailed Terms of Use available at: https://lionsgateplay.com/termsandconditions.",2026-07-26
Decathlon - Fixed,Decathlon - Fixed,268,https://www.maximize.money/gift-cards/Decathlon - Fixed/268,active,Online + In-store,500 / 1000 / 1500 / 2000 / 5000 / 10000,No,,4,4.0% off / 4.5% earn,2.75% off / 3.25% earn,2.1% off / 2.6% earn,1.65% off / 2.15% earn,1.75% off / 2.25% earn,1.75% off / 2.25% earn,UPI,4.0,Yes,No,No,Valid for upto 6 months,"Visit Decathlon website at [https://www.decathlon.in](https://www.decathlon.in) or visit Decathlon listed outlet. | Please share the voucher code with the cashier before billing. | Make your order and click on 'Proceed to Checkout'. On the payment page, select 'Have a Gift Card' option and enter the voucher code & PIN. You can make the balance payment by any other payment mode.","This is a Decathlon GV/GC (Gift Voucher/Gift Card) and it can be redeemed at all the listed stores, Decathlon mobile app, and at https://www.decathlon.in. | The holder of the GV/GC is deemed to be the beneficiary. | You can use up to 10 GV/GC or a max of Rs 10,000 on all platforms. | GV/GCs are non-refundable, may not be exchanged, transferred, or resold, and may not be redeemed for cash. | GyFTR/Decathlon is not responsible for lost, damaged, or stolen GV/GCs. | The E-Gift Card shall not be used for payment or settlement for third party products & services. | The GV/GC is valid for partial redemption. The balance would remain in the GV/GC till the validity period and can be reused for multiple transactions. | GyFTR/Decathlon India reserves the right to add, alter, amend, and revise the terms and conditions without prior notice, and without assigning any reasons. | Shipping charges will be applied as per the standard charges or promotions on the website at the time of redemption. | Any dispute related to the GV/GC should be referred to the issuing company and the decision of the issuing company shall be final. In case of any legal disputes, the courts in New Delhi shall have exclusive jurisdiction. | Decathlon reserves the right to deny accepting any GV/GC if it suspects that there is a duplicity of cards. | For any queries/issues related to GV/GC, please raise a request at https://www.gvhelpdesk.com.",2026-07-26
Yatra - 2000,Yatra - 2000,606,https://www.maximize.money/gift-cards/Yatra - 2000/606,active,Online,2000 / 2000,No,,,25.0% off / 25.25% earn,23.75% off / 24.0% earn,23.1% off / 23.35% earn,22.65% off / 22.9% earn,22.75% off / 23.0% earn,22.75% off / 23.0% earn,UPI,25.0,No,No,No,Valid for upto 6 months,"Visit https://www.yatra.com or open the Yatra mobile app. | Search and select your preferred flight. | Review your booking and enter passenger details. | Proceed to the payment page. | Select Gift Voucher as the payment method. | Enter the Gift Card number and redeem the voucher. | Pay the remaining amount, if any, using another payment method. | Complete the booking and receive your confirmation.","The Gift Card is valid only for flight bookings on the Yatra website and mobile app. | This is a one-time use Gift Card. | Only one Gift Card can be used per booking. | Unused balance, if any, will be forfeited after redemption. | The Gift Card cannot be clubbed with any other offer, discount, cashback, or promotion. | If the booking amount exceeds the Gift Card value, the balance must be paid separately. | The Gift Card cannot be revalidated once expired or cancelled. | In case of customer-initiated cancellation, the Gift Card value will be forfeited. | Gift Cards are non-refundable, non-transferable, and cannot be exchanged for cash. | Yatra is not responsible for lost, stolen, damaged, or unauthorized use of Gift Cards. | If a Gift Card is blocked due to technical issues, it may be reactivated within 72 hours. | Travel agents are not permitted to use these Gift Cards. | All disputes are subject to the jurisdiction of courts in Gurgaon, Haryana. | For support, raise a request at https://www.gvhelpdesk.com.",2026-07-26
Yatra - 500,Yatra - 500,1078,https://www.maximize.money/gift-cards/Yatra - 500/1078,active,Online,500 / 500,No,,,85.0% off / 85.25% earn,83.75% off / 84.0% earn,83.1% off / 83.35% earn,82.65% off / 82.9% earn,82.75% off / 83.0% earn,82.75% off / 83.0% earn,UPI,85.0,No,No,No,Valid for upto 6 months,"Visit https://www.yatra.com or open the Yatra mobile app. | Search and select your preferred flight. | Review your booking and enter passenger details. | Proceed to the payment page. | Select Gift Voucher as the payment method. | Enter the Gift Card number and redeem the voucher. | Pay the remaining amount, if any, using another payment method. | Complete the booking and receive your confirmation.","The Gift Card is valid only for flight bookings on the Yatra website and mobile app. | This is a one-time use Gift Card. | Only one Gift Card can be used per booking. | Unused balance, if any, will be forfeited after redemption. | The Gift Card cannot be clubbed with any other offer, discount, cashback, or promotion. | If the booking amount exceeds the Gift Card value, the balance must be paid separately. | The Gift Card cannot be revalidated once expired or cancelled. | In case of customer-initiated cancellation, the Gift Card value will be forfeited. | Gift Cards are non-refundable, non-transferable, and cannot be exchanged for cash. | Yatra is not responsible for lost, stolen, damaged, or unauthorized use of Gift Cards. | If a Gift Card is blocked due to technical issues, it may be reactivated within 72 hours. | Travel agents are not permitted to use these Gift Cards. | All disputes are subject to the jurisdiction of courts in Gurgaon, Haryana. | For support, raise a request at https://www.gvhelpdesk.com.",2026-07-26
Natural Salon 4K,Natural Salon 4K,1113,https://www.maximize.money/gift-cards/Natural Salon 4K/1113,active,In-store,4000,No,,4,16.75% off / 17.0% earn,15.5% off / 15.75% earn,14.85% off / 15.1% earn,14.4% off / 14.65% earn,14.5% off / 14.75% earn,14.5% off / 14.75% earn,UPI,16.75,Yes,No,No,Valid upto 12 Months from purchase,"Before Visiting the Salon | Log in to the Naturals Wallet Portal using your registered mobile number. | Verify your account using the OTP. | Complete your profile details. | Click Add Card and enter your Gift Card Number and PIN. | Add the Gift Card to your Naturals Wallet. | At the Salon | Visit any participating Naturals Salon. | Inform the cashier before availing the service that you will be using an E-Gift Card. | Share your registered mobile number and OTP at the billing counter. | If your bill exceeds the available Gift Card balance, pay the remaining amount using another payment method.","Pay ₹4,000 and enjoy services worth ₹5,000. | Valid for 365 days from the date of activation. | Redeemable against salon services at 700+ Naturals Salon outlets across India. | The Gift Card balance can be used until exhausted or until expiry. | Cannot be redeemed for cash or cheque. | If the bill exceeds the available balance, the difference must be paid using another accepted payment method. | Gift Card cannot be redeemed after expiry. | Lost, stolen, or misused Gift Cards will not be replaced. | Gift Cards are non-transferable and non-refundable once activated. | No returns or refunds are allowed on Gift Cards. | Gift Cards are generally delivered instantly but may take up to 24–48 hours due to technical issues. | Multiple discounts, vouchers, or promotional offers cannot be combined. | Naturals Salon reserves the right to amend the Terms & Conditions without prior notice. | All disputes are subject to the jurisdiction of Chennai courts.",2026-07-26
Natural Salon 10K,Natural Salon 10K,1075,https://www.maximize.money/gift-cards/Natural Salon 10K/1075,active,In-store,10000,No,,4,16.75% off / 17.0% earn,15.5% off / 15.75% earn,14.85% off / 15.1% earn,14.4% off / 14.65% earn,14.5% off / 14.75% earn,14.5% off / 14.75% earn,UPI,16.75,Yes,No,No,Valid upto 12 Months from purchase,"Log in to the Naturals Wallet portal using your registered mobile number. | Verify your account using the OTP received on your mobile. | Complete your profile details and add the Gift Card using the Card Number and PIN. | Visit any participating Naturals Salon outlet. | Inform the cashier about the Gift Card before availing services. | At billing, share your registered mobile number and OTP with the cashier. | If the bill amount exceeds the available voucher balance, pay the remaining amount using another payment method.","The E-Gift Card is activated after successful purchase and payment. | Valid for redemption at participating Naturals Salon outlets across India. | The Gift Card can be redeemed multiple times until the available balance is exhausted or the validity period expires. | Valid for 365 days from the date of activation. | Applicable on salon services at more than 700 Naturals Salon outlets. | No cash or cheque will be provided against the Gift Card balance. | If the bill value exceeds the Gift Card balance, the difference can be paid through any accepted payment method. | Expired Gift Cards cannot be redeemed. | Gift Cards are non-transferable and non-refundable once activated. | No returns or refunds are allowed on Gift Cards. | Multiple discounts, vouchers, or promotional offers cannot be combined. | Naturals Salon and Pine Labs are not responsible for lost, stolen, damaged, or misused Gift Cards. | Gift Card delivery is generally instant but may take up to 24–48 hours in case of technical delays. | Naturals Salon reserves the right to modify the terms and conditions without prior notice. | All disputes are subject to the jurisdiction of Chennai courts.",2026-07-26
Natural Salon 20K,Natural Salon 20K,1074,https://www.maximize.money/gift-cards/Natural Salon 20K/1074,active,In-store,20000,No,,4,16.75% off / 17.0% earn,15.5% off / 15.75% earn,14.85% off / 15.1% earn,14.4% off / 14.65% earn,14.5% off / 14.75% earn,14.5% off / 14.75% earn,UPI,16.75,Yes,No,No,Valid upto 12 Months from purchase,"Log in to the Naturals Wallet portal using your registered mobile number. | Verify your account using the OTP received on your mobile. | Complete your profile details and add the Gift Card using the Card Number and PIN. | Visit any participating Naturals Salon outlet. | Inform the cashier about the Gift Card before availing services. | At billing, share your registered mobile number and OTP with the cashier. | If the bill amount exceeds the available voucher balance, pay the remaining amount using another payment method.","The E-Gift Card is activated after successful purchase and payment. | Valid for redemption at participating Naturals Salon outlets across India. | The Gift Card can be redeemed multiple times until the available balance is exhausted or the validity period expires. | Valid for 365 days from the date of activation. | Applicable on salon services at more than 700 Naturals Salon outlets. | No cash or cheque will be provided against the Gift Card balance. | If the bill value exceeds the Gift Card balance, the difference can be paid through any accepted payment method. | Expired Gift Cards cannot be redeemed. | Gift Cards are non-transferable and non-refundable once activated. | No returns or refunds are allowed on Gift Cards. | Multiple discounts, vouchers, or promotional offers cannot be combined. | Naturals Salon and Pine Labs are not responsible for lost, stolen, damaged, or misused Gift Cards. | Gift Card delivery is generally instant but may take up to 24–48 hours in case of technical delays. | Naturals Salon reserves the right to modify the terms and conditions without prior notice. | All disputes are subject to the jurisdiction of Chennai courts.",2026-07-26
Victoria's Secret Beauty,Victoria's Secret Beauty,315,https://www.maximize.money/gift-cards/Victoria's Secret Beauty/315,active,In-store,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000,No,,4,11.75% off / 12.25% earn,10.5% off / 11.0% earn,9.85% off / 10.35% earn,9.4% off / 9.9% earn,9.5% off / 10.0% earn,9.5% off / 10.0% earn,UPI,11.75,No,No,Yes,Valid for upto 6 months,Check the outlet locator for a store nearby you that accepts the Gift Voucher. | Choose your product. | Share your Gift Voucher at the time of billing & pay rest by cash or card if required.,"This Gift Voucher (GV)/e-Pay and would be accepted at Aldo, Charles & Keith, Call it Spring, Beverly Hills Polo Club, Inglot, Victoria's Secret, Victoria's Secret beauty , Bath & Body works & R&B stores only. | The holder of the GV/e-Pay is deemed to be the beneficiary. | The GV can be converted into e-Pay, as per convenience of the holder. | Multiple GVs can be clubbed and added to a e-Pay balance. | Only valid GVs/e-Pay, at the sole discretion of Apparel group, shall be accepted for redemption. | The e-Pay balance must be linked to the registered mobile number. | The e-Pay cannot be transferred to another e-Pay account, exchanged for cash, or any other form of currency. | GV/e-Pay cannot be revalidated once it expires. | Apparel group, GyFTR, or its affiliates shall not be responsible if the beneficiary shares the GV number or account credentials resulting in unauthorized use of the GV/e-Pay balance. | In case of a technical issue leading to the blockage of GV/e-Pay, it shall be reactivated within 72 hours. | Any dispute should be referred to the company from where the GV/e-Pay has been received, and the company's decision shall be final. | Apparel group or GyFTR may terminate or suspend Apparel group GV/e-Pay if any fraudulent or unauthorized activities are detected. | Apparel group or GyFTR reserves the right to modify or update the terms and conditions of the Apparel group GV/e-Pay at any time. | For any queries/issues related to GV/e-Pay, please raise a request at https://www.gvhelpdesk.com",2026-07-26
BPCL SmartDrive Fuel,BPCL SmartDrive Fuel,631,https://www.maximize.money/gift-cards/BPCL SmartDrive Fuel/631,active,In-store,100 / 250 / 500 / 750 / 1000 / 2000,No,,4,,,,,,,,,No,No,Yes,Valid for upto 12 months,"Step 1: Download the Hello BPCL app and sign up or sign in with your mobile number. Set up your MPIN or enter the MPIN to log in. On the Personal tab, select SmartDrive and register by providing all the required details. | Step 2: Click on the SmartDrive tab, go to the Rewards section, and click on ""Add a corporate gift voucher"". Enter the 16-digit fuel voucher code and proceed to recharge. The wallet balance will be updated. | Step 3: Visit any BPCL petrol pump and inform the fuel attendant that you will pay using SmartDrive. | Step 4: Provide the registered mobile number to the fuel attendant and authenticate the fuel purchase amount with the OTP. Fuel will be dispensed after verification.","This BPCL Fuel Voucher can be redeemed by adding it to SmartDrive in the HelloBPCL mobile application. Hello BPCL should be mapped to the registered mobile number. | The HelloBPCL mobile application is available in PlayStore/AppStore. | Only valid Fuel Vouchers at the sole discretion of BPCL shall be accepted for redemption towards SmartDrive wallet recharge of the customer. | Once the BPCL Fuel Voucher is added to SmartDrive, the payment against fuel can be done at any BPCL Retail Outlet by sharing the registered mobile number. No credit note or refund for the unused balance amount will be given. | This BPCL Fuel Voucher is valid against the purchase of Fuel only. 6.The holder of the Fuel Voucher is deemed to be the beneficiary. | Multiple Fuel Vouchers can be added to SmartDrive and partially balance can be used from smart drive wallet. | There are no restrictions or limits on the number of GV/GCs that can be added to a Smart Drive wallet within a day or month. The maximum amount a customer can use from their Smart Drive wallet in a day is Rs. 6,000 and the monthly limit is Rs. 20,000. | This Fuel Voucher cannot be converted into cash for either full value or the unutilized portion. | BPCL/Maximize shall neither replace the Fuel Voucher nor refund cash in case the voucher code is deleted/lost. Disputes if any should be referred to BPCL and the decision of BPCL regarding the quantity and quality of fuel sold against Fuel Voucher will be final. | The sale of Fuel to the end consumer is subject to BPCL terms and conditions. | Fuel Vouchers cannot be revalidated once expired. | BPCL is not responsible for the beneficiary sharing the Fuel Voucher number and the voucher getting redeemed on that account. | It is the absolute and sole discretion of Bharat Petroleum Corporation Ltd. to accept or reject the request for a Fuel Voucher. | Once issued, the Fuel Voucher cannot be cancelled. No returns and no refunds on fuel vouchers will be entertained. | Any Government levies/taxes like Sales Tax, TDS, Gift Tax, Income tax, any Local Tax, etc. arising out of the same will have to be borne by the one requesting for issuance of the Fuel Voucher and the one receiving the Fuel Voucher. | These Terms and Conditions shall be governed by and construed in accordance with the laws of the Republic of India and the Mumbai High Court in the City of Mumbai alone shall have jurisdiction to entertain any dispute or other proceedings arising out of these terms and conditions.",2026-07-26
BrainGymJr Gift Voucher,BrainGymJr Gift Voucher,502,https://www.maximize.money/gift-cards/BrainGymJr Gift Voucher/502,active,Online,199 / 499 / 799 / 1499,No,,4,13.75% off / 14.0% earn,12.5% off / 12.75% earn,11.85% off / 12.1% earn,11.4% off / 11.65% earn,11.5% off / 11.75% earn,11.5% off / 11.75% earn,UPI,13.75,No,No,No,Valid for upto 6 months,Visit BrainGymJr.com or the Android App | Sign up and enter your voucher code | Choose the matching plan for your voucher,Valid only for BrainGymJr Plan subscriptions on https://www.BrainGymJr.com or their Android app | Single-use only - cannot be reloaded or used in parts | Cannot be clubbed with any other offer or exchanged for cash/credit | Valid for 6 months from the date of issue | No duplicate voucher will be issued if lost or stolen | User is solely responsible for voucher safety and use | The voucher will be tagged to the subscriber's account post-redemption | BrainGymJr reserves the right to modify T&Cs without notice,2026-07-26
ALDO,ALDO,308,https://www.maximize.money/gift-cards/ALDO/308,active,In-store,500 / 1000 / 1500 / 2000 / 2500 / 3000 / 5000 / 7500 / 10000,Yes,100-10000,4,11.75% off / 12.25% earn,10.5% off / 11.0% earn,9.85% off / 10.35% earn,9.4% off / 9.9% earn,9.5% off / 10.0% earn,9.5% off / 10.0% earn,UPI,11.75,Yes,Yes,Yes,Valid for upto 6 months,Check the outlet locator for a store nearby you that accepts the Gift Voucher. | Choose your product. | Share your Gift Voucher at the time of billing & pay rest by cash or card if required.,"This Gift Voucher (GV)/e-Pay and would be accepted at Aldo, Charles & Keith, Call it Spring, Beverly Hills Polo Club, Inglot, Victoria's Secret, Victoria's Secret beauty , Bath & Body works & R&B stores only. | The holder of the GV/e-Pay is deemed to be the beneficiary. | The GV can be converted into e-Pay, as per convenience of the holder. | Multiple GVs can be clubbed and added to a e-Pay balance. | Only valid GVs/e-Pay, at the sole discretion of Apparel group, shall be accepted for redemption. | The e-Pay balance must be linked to the registered mobile number. | The e-Pay cannot be transferred to another e-Pay account, exchanged for cash, or any other form of currency. | GV/e-Pay cannot be revalidated once it expires. | Apparel group, GyFTR, or its affiliates shall not be responsible if the beneficiary shares the GV number or account credentials resulting in unauthorized use of the GV/e-Pay balance. | In case of a technical issue leading to the blockage of GV/e-Pay, it shall be reactivated within 72 hours. | Any dispute should be referred to the company from where the GV/e-Pay has been received, and the company's decision shall be final. | Apparel group or GyFTR may terminate or suspend Apparel group GV/e-Pay if any fraudulent or unauthorized activities are detected. | Apparel group or GyFTR reserves the right to modify or update the terms and conditions of the Apparel group GV/e-Pay at any time. | For any queries/issues related to GV/e-Pay, please raise a request at https://www.gvhelpdesk.com",2026-07-26
Allen Solly,Allen Solly,589,https://www.maximize.money/gift-cards/Allen Solly/589,active,In-store,1000 / 2000 / 5000 / 10000 / 1000,Yes,500-10000,,3.0% off / 3.1% earn,1.75% off / 1.85% earn,1.1% off / 1.2% earn,0.65% off / 0.75% earn,0.75% off / 0.85% earn,0.75% off / 0.85% earn,UPI,3.0,No,No,Yes,Valid for upto 12 months,"Visit the outlet near you. | Before making the purchase, confirm the acceptance of the Gift Card at the store. | Choose the products you would like to buy. | Show your Gift Card details to the cashier at the time of billing and pay any balance amount by cash or card.","This EGC shall have a validity period of 1 year from the date of issuance. | This E-Gift Card can be used across all Allen Solly stores only. | This E-Gift Card can be redeemed just once. | This E-Gift Card is not valid until activated at a participating Allen Solly store. | This Gift Card / E-Gift Card can be redeemed only at selected outlets. | This E-Gift Card is solely for the purchase of merchandise at participating Allen Solly exclusive stores only. | Please present this card to the customer representative before billing. | Protect the card number and PIN to avoid misuse. If the card is lost or stolen, it cannot be replaced or refunded. | E-Gift Cards are normally delivered instantly, but due to system issues, delivery may be delayed up to 24 hours.",2026-07-26
Aliste,Aliste,487,https://www.maximize.money/gift-cards/Aliste/487,active,Online,500 / 1000 / 1500 / 2000 / 3000 / 5000,Yes,100-10000,4,,,,,,,,,No,No,No,Valid for upto 6 months,"Visit subscription.alistetechnologies.com and select your house type. | Choose the degree of automation required (Basic, Advanced, etc.). | Select your billing cycle. | Fill in all necessary details. Review the plan and click “Enter details & pay ₹300”. | Enter your voucher code, redeem the value, pay any balance, and Aliste’s team will contact you within 48 hours to schedule installation.","This Gift Voucher/Gift Card (GV/GC) is valid only on subscription.alistetechnologies.com. | The holder of the GV/GC is considered the beneficiary. | Once activated, the membership is non-transferable. | GV/GCs are not for resale and cannot be redeemed for cash. | Aliste is not liable for lost, stolen, or unauthorized use of the GV/GC. | Only one GV/GC can be used per subscription. | This GV/GC is valid for one-time use only and has an expiration date. | Expired or cancelled GV/GCs cannot be revalidated under any circumstances. | This GV/GC cannot be combined with any ongoing offers on the website. | Aliste may modify, withdraw, or cancel the offer at any time without prior notice. | For any queries or issues, visit https://www.gvhelpdesk.com.",2026-07-26
